ligand,res_time_s,temperature,catalyst_loading,yield_pct,turnover
L2,600.0,30.0,0.498,0.6,1.1
L5,600.0,30.0,2.515,0.6,0.2
L3,60.0,30.0,2.508,0.6,0.2
L0,60.0,30.0,0.513,0.6,1.1
L1,600.0,30.0,2.513,0.6,0.2
L4,60.0,30.0,0.508,0.6,1.1
L6,600.0,30.0,0.506,0.6,1.1
L3,600.0,110.0,0.512,43.4,84.7
L5,60.0,110.0,0.498,0.6,1.1
L0,600.0,110.0,2.509,60.2,24.0
L4,600.0,110.0,2.512,42.0,16.7
L6,60.0,110.0,2.499,84.6,33.8
L1,60.0,110.0,0.508,8.5,16.9
L2,60.0,110.0,2.489,54.4,21.8
L6,189.7,65.3,1.123,0.6,0.5
L0,189.7,65.3,1.106,24.9,22.5
L5,600.0,65.3,2.515,0.6,0.2
L3,189.7,65.3,2.508,53.1,21.2
L4,189.7,65.3,1.106,0.6,0.5
L2,600.0,65.3,1.106,5.6,5.1
L1,600.0,65.3,1.129,7.5,6.7
L3,600.0,110.0,1.106,91.3,82.6
L0,600.0,110.0,2.509,68.6,27.4
L1,189.7,110.0,2.513,52.9,21.1
L5,189.7,110.0,1.127,7.4,6.6
L6,600.0,110.0,2.499,75.0,30.0
L2,189.7,110.0,2.489,53.8,21.6
L4,600.0,110.0,2.512,47.6,18.9
L3,600.0,30.0,0.512,0.6,1.1
L4,600.0,30.0,0.508,0.6,1.1
L0,600.0,30.0,0.513,0.6,1.1
L1,60.0,110.0,2.513,41.9,16.6
L2,60.0,110.0,2.489,77.5,31.2
L5,60.0,110.0,2.515,8.5,3.4
L6,60.0,110.0,2.499,85.4,34.2
L3,60.0,67.5,2.508,33.4,13.4
L4,60.0,66.7,2.512,0.6,0.2
L2,60.0,67.0,2.489,24.4,9.8
L6,60.0,66.8,2.499,3.6,1.4
L0,60.0,66.3,2.509,12.4,4.9
L6,155.6,110.0,2.499,81.3,32.5
L4,109.3,110.0,2.482,39.1,15.8
L0,109.2,110.0,2.482,74.1,29.8
L2,166.5,110.0,2.489,60.9,24.5
L3,60.0,110.0,0.512,10.3,20.1
L6,60.0,110.0,0.506,0.6,1.1
L2,60.0,110.0,0.498,21.7,43.7
L0,60.0,110.0,0.513,20.5,40.0
L3,60.0,110.0,0.512,8.7,17.0
L2,600.0,110.0,0.968,23.7,24.5
L0,600.0,110.0,0.971,41.4,42.6
L4,600.0,110.0,0.957,38.8,40.6
L3,600.0,110.0,1.268,91.8,72.4
L6,600.0,110.0,0.814,38.0,46.6
L3,161.7,110.0,2.104,84.0,39.9
L0,146.1,110.0,2.509,69.6,27.7
L2,185.5,110.0,2.489,62.8,25.2
L6,176.5,110.0,2.499,68.6,27.5
L0,60.0,110.0,2.266,83.9,37.1
L3,60.0,110.0,1.915,65.7,34.4
L6,60.0,110.0,2.303,80.7,35.0
L2,60.0,110.0,2.323,64.4,27.7
L3,600.0,110.0,2.508,82.1,30.8
L3,600.0,110.0,2.508,80.0,31.9
L3,600.0,67.3,1.214,29.6,24.4
L3,600.0,68.7,1.268,20.4,16.1
L3,199.3,110.0,1.241,71.6,57.8
L0,202.8,110.0,1.592,70.9,44.6
L3,600.0,110.0,1.16,75.5,65.1
L3,600.0,110.0,1.16,82.7,71.4
L3,600.0,110.0,1.106,72.2,65.3
L3,600.0,110.0,1.106,92.8,83.9
L3,600.0,110.0,1.187,72.1,60.7
L3,600.0,110.0,1.106,80.7,73.0
L3,600.0,66.3,0.998,20.1,20.2
L3,600.0,67.6,0.998,17.9,18.0
L3,600.0,110.0,1.241,87.5,70.5
L3,600.0,110.0,1.268,80.2,63.2
L3,600.0,110.0,1.187,78.1,65.8
L3,189.1,110.0,2.508,98.7,39.4
L3,600.0,110.0,1.268,83.1,65.6
L3,199.8,110.0,2.508,83.9,33.5
L3,199.6,110.0,2.508,83.2,33.2
L3,600.0,110.0,1.241,76.9,62.0
L3,600.0,110.0,1.025,75.0,73.3
L3,600.0,110.0,1.079,87.6,81.2
L3,600.0,110.0,1.133,75.9,67.0
L3,600.0,110.0,1.052,68.7,65.4
L3,600.0,110.0,1.106,78.7,71.2
L5,600.0,110.0,2.49,0.1,0.0
L4,60.0,110.0,0.51,0.1,0.2
L3,60.0,110.0,0.498,0.1,0.2
L6,600.0,110.0,2.489,5.7,2.3
L0,60.0,110.0,2.516,6.4,2.5
L1,60.0,110.0,2.516,11.0,4.4
L2,600.0,110.0,0.512,0.1,0.2
L4,600.0,30.0,2.492,0.1,0.0
L3,600.0,30.0,2.516,0.5,0.2
L6,60.0,30.0,0.509,0.1,0.2
L5,60.0,30.0,0.492,0.1,0.2
L0,600.0,30.0,0.509,0.1,0.2
L2,60.0,30.0,2.505,0.1,0.0
L1,600.0,30.0,0.492,0.1,0.2
L3,189.7,65.3,2.516,1.0,0.4
L4,60.0,65.3,2.492,0.1,0.0
L0,189.7,65.3,1.131,5.9,5.2
L5,60.0,65.3,1.122,0.1,0.1
L1,189.7,65.3,1.128,8.9,7.8
L6,60.0,65.3,1.131,0.1,0.1
L2,60.0,65.3,2.505,11.8,4.7
L5,189.7,110.0,2.49,0.1,0.0
L4,189.7,110.0,1.111,8.2,7.2
L1,60.0,110.0,2.516,11.5,4.6
L2,189.7,110.0,1.131,10.5,9.2
L0,60.0,110.0,2.516,13.5,5.4
L3,60.0,110.0,1.106,0.4,0.3
L6,189.7,110.0,2.489,11.7,4.6
L1,339.6,110.0,2.516,16.1,6.4
L3,351.3,110.0,2.516,2.4,1.0
L4,370.2,110.0,2.492,28.0,11.1
L0,340.3,110.0,2.516,16.3,6.5
L6,600.0,33.8,2.489,0.1,0.0
L2,600.0,30.0,2.047,0.1,0.1
L5,600.0,30.0,2.49,0.1,0.0
L6,149.0,110.0,2.489,28.1,11.2
L4,156.7,110.0,2.492,16.4,6.5
L2,162.3,110.0,2.505,16.9,6.7
L0,172.3,107.8,2.516,19.9,7.9
L1,177.6,95.1,2.516,13.0,5.2
L0,222.1,110.0,0.792,8.5,10.9
L1,192.5,110.0,2.169,11.6,5.4
L6,155.6,110.0,1.923,5.4,2.8
L4,184.7,110.0,2.011,18.6,9.1
L2,262.1,56.1,0.754,5.5,7.0
L2,203.4,81.9,2.505,18.0,7.2
L1,190.0,93.8,2.516,14.2,5.6
L4,184.5,110.0,2.492,18.1,7.2
L0,213.2,110.0,2.516,24.6,9.8
L6,157.7,110.0,2.489,6.8,2.7
L0,261.0,110.0,2.516,26.0,10.3
L4,206.5,110.0,2.492,24.5,9.7
L6,166.9,110.0,2.489,10.8,4.3
L2,198.4,100.7,2.505,17.3,6.9
L1,600.0,110.0,1.938,15.9,8.3
L2,600.0,110.0,1.993,18.5,9.4
L0,600.0,110.0,1.781,24.0,13.3
L4,600.0,110.0,1.951,30.6,15.5
L4,600.0,110.0,1.951,30.2,15.3
L0,600.0,110.0,1.385,20.2,14.7
L2,375.4,97.2,1.94,16.9,8.8
L2,600.0,103.3,2.505,22.3,8.9
L0,600.0,110.0,2.516,32.6,13.0
L4,600.0,110.0,2.011,40.1,19.7
L4,600.0,110.0,2.492,42.0,16.7
L0,60.0,30.0,2.516,0.1,0.0
L0,60.0,30.0,2.516,0.4,0.2
L4,600.0,110.0,2.492,47.6,18.9
L0,600.0,47.1,2.516,41.9,16.6
L4,600.0,71.0,2.492,0.1,0.0
L4,600.0,110.0,2.492,42.0,16.7
L1,600.0,39.8,2.516,1.1,0.4
L2,600.0,38.1,2.505,4.6,1.8
L0,600.0,61.0,2.516,14.2,5.6
L2,600.0,69.4,2.505,24.4,9.7
L0,600.0,63.0,2.516,15.7,6.3
L0,600.0,110.0,2.516,14.0,5.6
L4,600.0,110.0,2.492,45.4,18.1
L4,600.0,110.0,2.492,38.4,15.2
L2,600.0,110.0,2.505,25.0,10.0
L4,600.0,110.0,1.711,26.2,15.1
L0,600.0,110.0,2.516,17.2,6.8
L4,600.0,110.0,2.492,41.1,16.3
L0,600.0,110.0,2.516,17.1,6.8
L0,600.0,110.0,2.516,17.7,7.0
L4,600.0,110.0,2.492,45.2,18.0
L4,600.0,110.0,1.771,34.8,19.4
L0,600.0,30.0,2.488,2.5,1.0
L0,600.0,30.0,2.488,3.2,1.3
L4,600.0,110.0,2.492,44.0,17.5
L4,600.0,110.0,1.921,38.9,20.3
L3,60.0,30.0,2.513,0.2,0.1
L1,600.0,30.0,2.494,0.2,0.1
L0,60.0,30.0,0.51,0.2,0.3
L4,600.0,30.0,2.511,0.2,0.1
L5,60.0,30.0,0.499,0.2,0.3
L6,600.0,30.0,0.501,0.2,0.3
L2,60.0,30.0,2.512,0.2,0.1
L4,60.0,110.0,0.508,0.2,0.3
L3,600.0,110.0,0.514,0.2,0.3
L5,600.0,110.0,2.496,0.2,0.1
L2,600.0,110.0,0.503,25.4,50.6
L6,60.0,110.0,2.504,42.2,16.9
L1,60.0,110.0,0.51,23.6,46.3
L0,600.0,110.0,2.493,91.3,36.6
L2,189.7,110.0,1.117,86.5,77.4
L5,189.7,110.0,2.496,0.2,0.1
L4,60.0,110.0,1.106,4.4,4.0
L0,189.7,110.0,2.493,78.8,31.6
L3,189.7,110.0,1.114,2.9,2.6
L1,60.0,110.0,2.494,86.7,34.7
L5,60.0,65.3,1.109,0.2,0.1
L6,60.0,110.0,2.504,49.9,19.9
L1,189.7,65.3,1.106,4.3,3.9
